id,category,source,target,question,choice1,choice2,choice3,choice4,answer,explanation
1,助動詞,「月は雲間よりおのづから見＿＿。」,,引用文中の空欄は、マ行上一段動詞「見る」の未然形「み」に接続している。「見る」に受身・可能・自発・尊敬の助動詞を接続した終止形として、正しい形を選べ。,る,らる,るる,らるる,2,上一段・下一段・カ変・サ変動詞の未然形には「らる」が接続し、四段・ナ変・ラ変動詞の未然形には「る」が接続する。「見る」はマ行上一段活用で、未然形は「み」であるため、「み＋らる」となる。
2,助動詞,「若君は、乳母に髪を削ぎかけられたり。」,,引用文中の「られ」（基本形「らる」）の意味として最も適当なものを選べ。,受身,自発,可能,尊敬,1,「若君が乳母によって髪を削ぎかけられた」という、他者から受けた動作を表すため「受身」である。「削ぎかけ」はカ行下二段動詞「削ぎかく」の未然形で、「らる」が接続している。
3,助動詞,「帝、これを御覧ぜさせ給ひて、いとあはれに思ほしめす。」,,引用文中の「させ」の助動詞の意味として最も適当なものを選べ。,使役,尊敬,自発,受身,2,「御覧ず（サ変）」の未然形「御覧ぜ」に接続する「させ」の直後に、尊敬の補助動詞「給ふ」があります。このように「せ・させ・しめ ＋ 尊敬の補助動詞」の形になり、動作を行う人（帝）が最高位の身分である場合、この「させ」は最高敬語（二重尊敬）の「尊敬」になります（「帝がお読みになる」の意）。
4,助動詞,「（作例）北面にのみあらせて、呼ばねば、かしがましく鳴く。」,,引用文中の「せ」の意味として最も適当なものを選べ。,尊敬,使役,完了,過去,2,「あらせて」の「せ」は、ラ変動詞「あり」の未然形「あら」に接続する使役の助動詞「す」の連用形です。「（猫を）北側の部屋にだけ置いて（居させて）」という意味になり、尊敬の補助動詞を伴っていないため、純粋な「使役」になります。
5,助動詞,「昔の秋の夜の月を思ひ出でられて、涙のこぼるるかな。」,,引用文中の「られ（らる）」の意味として最も適当なものを選べ。,受身,可能,自発,尊敬,3,「思ひ出づ」などの知覚・感情を表す動詞に接続する「る・らる」は、自然とそうなることを表す「自発（思わず思い出されて）」になります。
6,助動詞,「いと重き病にかかりて、親を嘆かせぬ。」,,引用文中の「せ」の直前にある「嘆か」の活用形として正しいものを選べ。,未然形,連用形,終止形,連体形,1,使役・尊敬の助動詞「す」は活用語の未然形に接続します。「嘆か」はカ行四段動詞「嘆く」の未然形です。
7,助動詞,「かの御使いは、夜も明けぬるに、まだ起きられず侍る。」,,引用文中の「られ」の活用形として正しいものを選べ。,未然形,連用形,終止形,已然形,1,すぐ下にある「ず」は打消の助動詞であり、未然形に接続します。したがって、「らる」の連用形ではなく、打消の助動詞「ず」の上にある「られ」は未然形（「られ・られ・らる・らるる・らるれ・られよ」の下二段型活用）になります。
8,助動詞,「悲しみ深く、今はそのことを人にも語られぬ。」,,引用文中の「られ」の意味として最も適当なものを選べ。,受身,自発,可能,尊敬,3,「語られぬ」は「語ることができない」の意である。四段動詞「語る」の未然形「語ら」に可能の助動詞「る」の未然形「れ」が付き、さらに打消の助動詞「ず」の連体形「ぬ」が続いている。
9,助動詞,,,『る』と『らる』は、それぞれどのような動詞に接続するか、正しい説明を選べ。,『る』は四段・ナ変・ラ変の未然形に接続し、『らる』はそれ以外の活用語の未然形に接続する,『る』はすべての未然形に接続し、『らる』は連用形に接続する,『る』は上一・下一に接続し、『らる』は四段に接続する,『る』はラ変に接続し、『らる』はナ変に接続する,1,古典文法の接続規則において、助動詞「る」は四段・ナ変・ラ変動詞の未然形（主にa音で終わるもの）に接続し、「らる」はそれ以外の活用語（上一・下一・上二・下二・カ変・サ変）の未然形に接続します。これが基本鉄則です。
10,助動詞,,,『す』と『さす』は、それぞれどのような動詞に接続するか、正しい説明を選べ。,『す』は四段・ナ変・ラ変の未然形に接続し、『さす』はそれ以外の未然形に接続する,『す』は未然形に接続し、『さす』は連用形に接続する,『す』は上一・下一に接続し、『さす』は四段に接続する,『す』はサ変にのみ接続する,1,助動詞「る・らる」の関係と同様に、使役・尊敬の助動詞「す」は四段・ナ変・ラ変動詞の未然形に接続し、「さす」はそれ以外の活用語の未然形に接続します。非常に整然とした文法規則です。
11,助動詞,「法師、大工をしてお堂を造らしむ。」,,引用文中の「しむ」の意味として最も適当なものを選べ。,尊敬,使役,完了,過去,2,「大工をして（大工に命じて）...造らせる」という文脈より、動作を誰かにさせる「使役」になります。「しむ」は漢文訓読調の文章や和歌などで好まれる使役・尊敬の助動詞です。
12,助動詞,「后（きさき）、御仏（みほとけ）を供養せしめ給ふ。」,,引用文中の「しめ」の助動詞の意味として最も適当なものを選べ。,使役,尊敬,存続,過去,2,后（皇后）という極めて身分の高い人物の動作「供養す」に対して、「せ（サ変未然形） ＋ しめ（しむの連用形） ＋ 給ふ（尊敬）」と接続しています。直後に使役の対象（〜に命じて）が示されていないため、これは「尊敬」（最高敬語）になります。
13,助動詞,「（地の文）中納言、急ぎ参らる。」,,引用文中の「る」の意味として最も適当なものを選べ。,受身,可能,自発,尊敬,4,中納言という貴族の自発的な参上動作に対して、四段動詞「参る」の未然形「参ら」に「る」が接続しています。文脈上、受身や可能ではなく、動作の主体を高める「尊敬（参上なさる）」になります。
14,助動詞,「門を強く閉めさせて、誰も入れじとする。」,,引用文中の「させ」の意味として最も適当なものを選べ。,尊敬,使役,自発,可能,2,「閉め（マ行下二段動詞『閉む』の未然形）」に接続する「させ」ですが、直後に尊敬の補助動詞「給ふ」などがありません。したがって、尊敬ではなく、誰かに門を閉めさせるという「使役」になります。
15,助動詞,,,助動詞『る』『らる』『す』『さす』の活用変化の型として正しいものを選べ。,四段型,下二段型,サ変型,ラ変型,2,「る」「らる」「す」「さす」は、すべて「え・え・う・うる・うれ・えよ」のパターンで変化する下二段型活用の助動詞です。（例：れ・れ・る・るる・るれ・れよ、せ・せ・す・する・すれ・せよ）。
16,助動詞,「雨も降らねば、道も歩きやすし。」,,引用文中の「ね」の文法的説明（基本形、意味、活用形）として正しいものを選べ。,基本形「ず」・打消・已然形,基本形「ぬ」・完了・已然形,基本形「ず」・打消・連体形,基本形「ぬ」・打消・未然形,1,「雨も降ら（四段動詞『降る』の未然形）」に接続しています。「未然形 ＋ ね ＋ ば」の「ね」は、打消の助動詞「ず」の已然形です。「〜ないので」という原因・理由を表します。（完了の助動詞「ぬ」の已然形も「ね」ですが、そちらは「連用形 ＋ ね ＋ ば」になります）。
17,助動詞,「薬も食はず、やがて起きもあがらで病み臥せり。」,,引用文中の「ず」の活用形として最も適当なものを選べ。,未然形,連用形,終止形,已然形,2,文中にあって「薬を飲むこともせず（飲まないで）、そのまま寝込んでしまった」と、動作を中止して次の文へと繋ぐ役割（中止法）をしています。これは打消の助動詞「ず」の連用形になります。
